City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,suklayin,15.7574,121.5503,296.9,94,31,1.07,PH,1702146163
1,whitehorse,60.7161,-135.0538,261.58,84,100,1.54,CA,1702146163
2,port-aux-francais,-49.35,70.2167,276.61,79,65,11.61,TF,1702146164
3,jamestown,42.097,-79.2353,287.35,59,100,6.69,US,1702146164
4,waitangi,-43.9535,-176.5597,288.05,86,82,6.26,NZ,1702146164
5,corredor,8.64,-82.946,299.68,55,20,2.26,CR,1702146164
6,edinburgh of the seven seas,-37.0676,-12.3116,288.12,89,99,7.13,SH,1702146164
7,adamstown,-25.066,-130.1015,295.2,82,100,6.98,PN,1702146164
8,miracema do tocantins,-9.5618,-48.3967,308.83,33,78,2.62,BR,1702146164
9,papatowai,-46.5619,169.4708,282.7,66,58,7.86,NZ,1702146164
10,stanley,54.868,-1.6985,281.36,94,75,1.03,GB,1702146165
11,olonkinbyen,70.9221,-8.7187,268.21,62,100,6.89,SJ,1702146165
12,palmer,42.1584,-72.3287,284.74,70,100,1.34,US,1702146165
13,yellowknife,62.456,-114.3525,263.44,92,100,7.72,CA,1702146165
14,fort st. john,56.2499,-120.8529,268.09,74,75,3.6,CA,1702146165
15,teguise,29.0605,-13.564,293.27,73,20,6.69,ES,1702146165
16,mount gambier,-37.8333,140.7667,285.03,64,100,4.3,AU,1702146165
17,port elizabeth,-33.918,25.5701,288.2,94,0,2.06,ZA,1702146165
18,cabo san lucas,22.8909,-109.9124,302.32,53,0,2.57,MX,1702146165
19,bredasdorp,-34.5322,20.0403,290.18,72,7,3.82,ZA,1702146165
20,nemuro,43.3236,145.575,279.52,79,27,4.85,JP,1702146166
21,mogadishu,2.0371,45.3438,300.42,76,27,8.54,SO,1702146166
22,blackmans bay,-43.0167,147.3167,280.11,84,78,0.45,AU,1702146166
23,shubarshi,48.5872,57.1869,261.46,51,90,4.61,KZ,1702146166
24,ouadda,8.0777,22.4007,297.37,29,90,0.75,CF,1702146166
25,kingscliff,-28.2667,153.5667,294.04,88,75,2.06,AU,1702146166
26,la mira,18.035,-102.3266,303.0,55,40,1.89,MX,1702146166
27,invercargill,-46.4,168.35,282.38,72,54,6.56,NZ,1702146167
28,darwin,-12.4611,130.8418,298.14,88,40,3.6,AU,1702145999
29,mejit,10.2753,170.8646,300.35,79,100,8.45,MH,1702146167
30,tiksi,71.6872,128.8694,248.09,99,100,2.35,RU,1702146167
31,nagqu,31.5,92.0,265.21,44,78,0.48,CN,1702146167
32,angaur state,6.906,134.13,301.95,73,100,5.19,PW,1702146167
33,puerto natales,-51.7236,-72.4875,287.4,51,75,9.77,CL,1702146167
34,ciudad bolivar,8.1222,-63.5497,307.51,37,41,5.15,VE,1702146167
35,farkhar,36.5729,69.8578,279.15,57,5,0.99,AF,1702146168
36,nadym,65.5333,72.5167,233.76,100,44,1.5,RU,1702146168
37,atafu village,-8.5421,-172.5159,301.72,77,59,3.82,TK,1702146168
38,pangody,65.85,74.4859,234.34,100,30,1.83,RU,1702146168
39,lebu,-37.6167,-73.65,288.07,66,0,9.45,CL,1702146168
40,grytviken,-54.2811,-36.5092,276.26,78,12,4.08,GS,1702146168
41,lospalos,-8.5186,127.0025,296.9,87,100,0.67,TL,1702146168
42,fort bragg,35.139,-79.006,296.43,59,20,5.14,US,1702146168
43,council bluffs,41.2619,-95.8608,276.58,66,100,11.32,US,1702146024
44,puerto ayora,-0.7393,-90.3518,305.13,90,59,2.68,EC,1702146169
45,remire-montjoly,4.9167,-52.2667,304.17,62,75,3.09,GF,1702146169
46,avarua,-21.2078,-159.775,298.18,88,75,7.72,CK,1702146169
47,rio grande,-32.035,-52.0986,298.21,64,10,7.25,BR,1702146169
48,port alfred,-33.5906,26.891,287.14,96,100,0.45,ZA,1702146169
49,usinsk,65.9939,57.5281,247.63,100,97,1.79,RU,1702146169
50,juigne,47.7188,-0.3941,285.36,71,0,7.2,FR,1702146169
51,charters towers,-20.1,146.2667,294.44,76,6,1.8,AU,1702146169
52,qaqortoq,60.7167,-46.0333,270.28,72,95,3.96,GL,1702146170
53,kangiwa,12.5521,3.8187,299.99,10,95,3.64,NG,1702146170
54,punta gorda,26.9298,-82.0454,302.59,61,40,5.66,US,1702146170
55,forio,40.7342,13.8646,286.0,48,39,1.89,IT,1702146170
56,nogliki,51.8333,143.1667,261.67,92,100,8.49,RU,1702146170
57,severo-yeniseyskiy,60.3725,93.0408,238.08,100,97,1.15,RU,1702146170
58,galveston,29.3669,-94.9669,299.87,76,0,5.66,US,1702146170
59,chaman,30.9236,66.4512,282.16,30,99,1.22,PK,1702146170
60,east ballina,-28.8667,153.5833,291.37,84,14,3.21,AU,1702146170
61,chui,-33.6971,-53.4616,293.59,55,48,6.18,UY,1702146167
62,bethel,41.3712,-73.414,286.49,77,75,2.57,US,1702146171
63,uglegorsk,49.0833,142.0333,266.26,78,100,8.73,RU,1702146171
64,ribeira grande,38.5167,-28.7,292.47,88,40,7.2,PT,1702146171
65,haiku-pauwela,20.9219,-156.3051,297.62,69,20,0.0,US,1702146171
66,mcrae,32.068,-82.9007,298.68,56,4,3.78,US,1702146171
67,fale old settlement,-9.3852,-171.2468,301.57,74,100,5.33,TK,1702146171
68,anadyr,64.75,177.4833,247.43,70,0,4.0,RU,1702146171
69,san patricio,28.017,-97.5169,301.07,67,89,4.24,US,1702146171
70,iskateley,67.6803,53.1512,245.94,92,9,2.68,RU,1702146081
71,stjordalshalsen,63.4681,10.9262,275.15,60,0,5.66,NO,1702146171
72,geraldton,-28.7667,114.6,290.38,25,0,4.12,AU,1702146172
73,bilibino,68.0546,166.4372,257.21,97,100,0.52,RU,1702146172
74,iqaluit,63.7506,-68.5145,266.0,92,100,4.63,CA,1702146172
75,uray,60.1247,64.7758,245.3,100,76,2.24,RU,1702146172
76,tidjikja,18.5564,-11.4271,300.07,12,46,5.03,MR,1702146172
77,dudinka,69.4058,86.1778,241.3,96,97,1.34,RU,1702146172
78,harvard,42.4222,-88.6137,280.53,75,71,1.34,US,1702146133
79,klyuchi,52.2667,79.1667,252.55,76,79,1.21,RU,1702146172
80,alofi,-19.0595,-169.9187,298.09,88,100,5.14,NU,1702146172
81,malvan,16.0667,73.4667,299.67,73,10,4.4,IN,1702146173
82,keflavik,64.0049,-22.5624,271.39,86,0,2.57,IS,1702146173
83,ushuaia,-54.8,-68.3,286.96,51,75,1.54,AR,1702146173
84,piterka,50.6803,47.4454,265.14,63,100,7.38,RU,1702146173
85,west island,-12.1568,96.8225,300.14,78,75,6.17,CC,1702146173
86,nandu,22.8525,110.8233,295.7,86,95,0.96,CN,1702146173
87,albany,42.6001,-73.9662,284.36,74,95,2.24,US,1702146126
88,luwuk,-0.9516,122.7875,298.67,84,83,1.55,ID,1702146173
89,minas de marcona,-15.2119,-75.1103,294.0,55,97,7.03,PE,1702146173
90,kone,-21.0595,164.8658,296.16,67,100,3.73,NC,1702146173
91,khandyga,62.6667,135.6,241.35,99,100,1.0,RU,1702146174
92,manistee,44.2445,-86.3242,279.29,61,100,7.72,US,1702146174
93,ilulissat,69.2167,-51.1,264.16,73,75,2.57,GL,1702146174
94,daoukro,7.0591,-3.9631,299.95,44,6,1.21,CI,1702146174
95,agnibilekrou,7.1344,-3.2047,300.09,45,8,0.66,CI,1702146174
96,lihue,21.9789,-159.3672,294.92,84,100,2.06,US,1702146174
97,barra de santo antonio,-9.4047,-35.5072,303.75,67,81,6.86,BR,1702146174
98,punta arenas,-53.15,-70.9167,288.21,44,75,10.8,CL,1702146174
99,uzgen,40.7699,73.3007,274.31,99,100,1.36,KG,1702146174
100,camacupa,-12.0167,17.4833,290.99,93,60,1.94,AO,1702146174
101,pacific grove,36.6177,-121.9166,286.84,52,0,5.36,US,1702146049
102,hamilton,39.1834,-84.5333,289.3,90,100,8.75,US,1702146175
103,togur,58.3631,82.8265,248.2,96,100,2.75,RU,1702146175
104,vila velha,-20.3297,-40.2925,299.12,94,75,5.14,BR,1702146175
105,kawalu,-7.3817,108.2082,297.04,90,100,1.04,ID,1702146175
106,slave lake,55.2834,-114.769,267.14,73,0,1.54,CA,1702146175
107,wailua homesteads,22.0669,-159.378,294.59,89,100,2.06,US,1702146175
108,nasir,15.5894,32.5634,299.44,18,88,2.96,SD,1702146175
109,as sulayyil,20.4607,45.5779,292.29,24,32,3.88,SA,1702146175
110,badger,64.8,-147.5333,250.02,76,40,0.0,US,1702146175
111,olinda,-8.0089,-34.8553,302.0,65,40,5.66,BR,1702146136
112,la'ie,21.6477,-157.9253,298.73,72,0,1.84,US,1702146175
113,thompson,55.7435,-97.8558,264.24,92,75,2.06,CA,1702146176
114,belmonte,-15.8631,-38.8828,301.9,68,28,5.67,BR,1702146176
115,talnakh,69.4865,88.3972,238.63,97,98,3.27,RU,1702146176
116,el bauga,18.262,33.9081,297.58,24,24,2.33,SD,1702146176
117,chonchi,-42.6128,-73.8092,287.71,57,88,0.59,CL,1702146176
118,aasiaat,68.7098,-52.8699,260.0,84,100,1.18,GL,1702146176
119,laguna,38.421,-121.4238,285.73,77,0,1.54,US,1702146176
120,skeldon,5.8833,-57.1333,302.15,67,29,3.37,GY,1702146176
121,zhangye,38.9342,100.4517,270.99,51,100,0.72,CN,1702146176
122,bayji,34.9311,43.487,290.03,60,34,2.53,IQ,1702146176
123,port augusta,-32.5,137.7667,291.75,67,100,4.23,AU,1702146176
124,limassol,34.675,33.0333,288.19,58,40,3.09,CY,1702146003
125,fisterra,42.9049,-9.2629,288.16,97,100,3.53,ES,1702146176
126,saint croix,17.7397,-64.7388,304.4,68,20,9.26,VI,1702146176
127,beni,0.5,29.4667,292.27,95,88,0.78,CD,1702146177
128,kapuskasing,49.4169,-82.4331,276.2,100,100,3.09,CA,1702145929
129,ilhabela,-23.7781,-45.3581,295.38,86,100,2.89,BR,1702146177
130,udachny,66.4167,112.4,243.31,96,100,2.49,RU,1702146177
131,rio tinto,41.1826,-8.5581,290.14,98,100,4.63,PT,1702146177
132,uturoa,-16.7333,-151.4333,300.27,79,86,7.06,PF,1702146177
133,vilyuchinsk,52.9306,158.4028,269.22,95,100,1.68,RU,1702146177
134,tabina,7.4669,123.4081,299.87,82,3,2.85,PH,1702146177
135,masterton,-40.9597,175.6575,287.53,74,100,5.29,NZ,1702146177
136,santa maria de cayon,43.3079,-3.8756,288.76,97,75,6.17,ES,1702146178
137,san antonio de pale,-1.4014,5.6325,300.84,77,31,5.3,GQ,1702146178
138,warner,35.4943,-95.3055,288.07,50,0,5.66,US,1702146178
139,codrington,-38.2667,141.9667,285.77,64,100,6.64,AU,1702146178
140,constantia,44.1833,28.65,273.54,83,100,6.61,RO,1702146178
141,hawaiian paradise park,19.5933,-154.9731,295.95,91,100,3.6,US,1702146013
142,chadron,42.8294,-102.9999,274.97,52,0,6.69,US,1702146178
143,kodiak,57.79,-152.4072,268.88,68,20,1.54,US,1702146128
144,brookings,44.3114,-96.7984,270.96,87,100,13.38,US,1702145968
145,mareeba,-17.0,145.4333,293.95,89,49,0.74,AU,1702146178
146,luderitz,-26.6481,15.1594,293.61,59,84,10.48,NA,1702146178
147,margaret river,-33.95,115.0667,285.83,62,0,6.33,AU,1702146178
148,cockburn town,21.4612,-71.1419,300.13,74,75,7.72,TC,1702146102
149,tazovsky,67.4667,78.7,235.04,100,73,1.39,RU,1702146179
150,acambaro,20.0333,-100.7333,294.07,37,23,0.73,MX,1702146004
151,utrik,11.2278,169.8474,300.55,73,92,9.06,MH,1702146179
152,acapulco de juarez,16.8634,-99.8901,303.05,66,75,2.57,MX,1702146179
153,cochrane,51.1834,-114.4687,268.3,58,44,2.56,CA,1702146166
154,chengyang,27.0892,119.6453,287.73,82,61,0.94,CN,1702146179
155,nongstoin,25.5167,91.2667,283.91,96,79,1.1,IN,1702146179
156,colotlan,22.1,-103.2667,295.67,34,0,3.07,MX,1702146179
157,la passe,45.5549,-0.8967,287.28,81,100,8.96,FR,1702146179
158,gunjur,13.2019,-16.7339,304.19,35,0,5.66,GM,1702146179
159,alesund,62.4723,6.1549,276.23,62,0,4.63,NO,1702145974
160,tukrah,32.5341,20.5791,289.53,63,100,6.84,LY,1702146179
161,palafrugell,41.9174,3.1631,288.39,74,100,3.64,ES,1702146179
162,youhao,47.8667,128.8333,249.32,86,29,3.4,CN,1702146180
163,lake havasu city,34.4839,-114.3224,287.85,19,0,6.17,US,1702146180
164,hadibu,12.65,54.0333,298.14,75,56,5.31,YE,1702146180
165,stiens,53.2623,5.7577,281.45,99,75,6.69,NL,1702146180
166,kharkhorin,47.1975,102.8238,251.54,98,97,0.21,MN,1702146180
167,comerio,18.218,-66.226,302.25,65,6,5.94,PR,1702146180
168,pisco,-13.7,-76.2167,296.18,68,99,7.72,PE,1702146180
169,tha kham,9.1107,99.2321,299.94,90,25,1.38,TH,1702146180
170,flying fish cove,-10.4217,105.6791,297.97,88,100,4.12,CX,1702146180
171,neya,58.2972,43.8681,253.63,84,98,3.55,RU,1702146180
172,isafjordur,66.0755,-23.124,271.26,89,65,3.42,IS,1702146180
173,forbes,-33.3833,148.0167,300.88,37,78,4.75,AU,1702146181
174,touros,-5.1989,-35.4608,301.94,62,70,6.67,BR,1702146181
175,alo,7.4178,6.7371,303.18,28,30,0.75,NG,1702146181
176,margate,51.3813,1.3862,284.21,70,69,1.79,GB,1702146181
177,carnarvon,-24.8667,113.6333,302.05,24,1,13.49,AU,1702146181
178,nishinoomote,30.7333,131.0,292.9,66,73,3.39,JP,1702146181
179,tual,-5.6667,132.75,299.1,91,100,6.89,ID,1702146181
180,amga,60.8953,131.9608,240.88,97,100,2.28,RU,1702146181
181,bonthe,7.5264,-12.505,302.39,70,26,4.07,SL,1702146182
182,susanville,40.4163,-120.653,274.71,64,0,0.89,US,1702146182
183,alliance,40.9153,-81.1059,285.19,91,99,6.17,US,1702146182
184,saipan,15.1355,145.701,299.54,89,40,4.12,MP,1702146182
185,nuuk,64.1835,-51.7216,272.49,86,100,0.0,GL,1702146182
186,ratnagiri,16.9833,73.3,298.79,72,2,3.09,IN,1702146183
187,farmington,36.7281,-108.2187,274.93,66,0,0.0,US,1702146061
188,inari,68.906,27.0288,259.26,91,88,4.34,FI,1702146183
189,los osos,35.3111,-120.8324,290.11,48,79,1.79,US,1702146177
190,kerema,-7.9631,145.7785,297.91,89,90,1.75,PG,1702146183
191,college,64.8569,-147.8028,250.07,74,20,0.0,US,1702146046
192,new norfolk,-42.7826,147.0587,280.77,90,75,1.26,AU,1702146184
193,xifeng,42.7372,124.7222,260.44,52,3,1.58,CN,1702146184
194,jacobabad,28.281,68.4388,291.88,17,13,0.65,PK,1702146185
195,namibe,-15.1961,12.1522,296.9,78,82,3.01,AO,1702146185
196,koksan,38.7819,126.6664,277.1,78,5,1.77,KP,1702146185
197,hithadhoo,-0.6,73.0833,300.76,78,100,2.54,MV,1702146185
198,bardai,11.65,7.2333,295.64,11,100,3.56,NG,1702146186
199,murray bridge,-35.1167,139.2667,286.55,85,99,4.95,AU,1702146186
200,skagen,57.7209,10.5839,276.86,97,100,12.21,DK,1702146186
201,nuku'alofa,-21.1333,-175.2,298.34,83,40,5.66,TO,1702146187
202,east london,-33.0153,27.9116,288.67,94,100,6.69,ZA,1702146187
203,gambiran satu,-8.3939,114.1464,297.26,91,75,1.12,ID,1702146188
204,porbandar,21.6422,69.6093,296.01,49,0,5.93,IN,1702146188
205,zaozersk,69.4005,32.4476,258.58,88,70,5.35,RU,1702146188
206,vung tau,10.346,107.0843,299.16,81,100,5.46,VN,1702146188
207,lazaro cardenas,17.9583,-102.2,302.69,57,41,1.59,MX,1702146188
208,hilo,19.7297,-155.09,299.42,81,100,3.6,US,1702146189
209,lompoc,34.6391,-120.4579,292.0,49,0,2.06,US,1702146189
210,baiti,13.745,-14.7482,307.67,10,67,4.81,SN,1702146189
211,sola,-13.8833,167.55,299.73,70,100,8.62,VU,1702146190
212,mandalgovi,45.7625,106.2708,257.82,59,30,2.67,MN,1702146190
213,diamantina,-18.2494,-43.6003,298.13,56,87,0.94,BR,1702146190
214,mar del plata,-38.0023,-57.5575,298.05,70,100,10.28,AR,1702146001
215,ola,59.5833,151.2833,269.9,93,100,4.74,RU,1702146190
216,chipinge,-20.1883,32.6236,298.23,37,14,4.14,ZW,1702146190
217,vorgashor,67.5833,63.95,251.48,99,100,2.17,RU,1702146084
218,anchorage,61.2181,-149.9003,266.08,83,100,5.14,US,1702146191
219,mount pearl,47.5166,-52.7813,275.9,91,100,12.35,CA,1702146191
220,islamabad,33.7104,73.1338,283.62,76,0,2.13,PK,1702146191
221,hacienda huancane,-15.8222,-70.8856,282.36,59,99,1.44,PE,1702146192
222,taikang,46.8333,124.4167,253.69,71,0,3.93,CN,1702146192
223,wurtulla,-26.7568,153.1256,295.96,92,85,0.45,AU,1702146192
224,egilsstadir,65.2653,-14.3948,269.1,93,75,0.0,IS,1702146192
225,dul'durga,50.6761,113.5931,247.54,91,13,1.97,RU,1702146192
226,banda aceh,5.5577,95.3222,299.32,86,100,2.11,ID,1702146192
227,kasama,-10.2129,31.1808,292.05,87,75,1.84,ZM,1702146192
228,tipasa,36.5897,2.4475,287.94,62,37,2.74,DZ,1702146193
229,mocoreta,-30.6189,-57.9634,299.16,48,0,4.15,AR,1702146193
230,wotho,10.1657,166.0102,300.18,81,100,7.32,MH,1702146193
231,ust-nera,64.5667,143.2,253.93,99,100,1.86,RU,1702146193
232,nicoya,10.1483,-85.452,304.14,61,11,3.96,CR,1702146193
233,taoudenni,22.6783,-3.9836,298.3,18,6,5.27,ML,1702146194
234,saynshand,44.8824,110.1163,253.97,81,22,3.39,MN,1702146194
235,batang,-6.4846,110.7083,299.8,78,70,2.36,ID,1702146194
236,sihanoukville,10.6093,103.5296,297.12,100,20,2.06,KH,1702146194
237,um jar al gharbiyya,13.8013,32.4078,300.09,17,11,3.94,SD,1702146194
238,tarinkot,32.6268,65.8733,281.09,28,61,0.95,AF,1702146194
239,al qitena,14.8648,32.3668,298.96,17,21,4.24,SD,1702146195
240,chandur,19.7333,79.1833,292.43,59,1,1.06,IN,1702146195
241,weno,7.4515,151.8468,301.12,89,100,4.12,FM,1702146195
242,tofol,5.3248,163.0078,301.36,76,44,5.27,FM,1702146195
243,alaghsas,17.0187,8.0168,298.09,14,0,3.6,NE,1702146195
244,vanersborg,58.3807,12.3234,274.58,86,75,5.14,SE,1702146195
245,lionel town,17.8101,-77.2406,304.09,61,8,5.41,JM,1702146196
246,lata,40.1629,-8.3327,290.41,94,97,1.57,PT,1702146196
247,tolanaro,-25.0319,46.9987,297.19,88,75,5.14,MG,1702146196
248,dalianwan,39.0286,121.695,272.17,34,0,2.0,CN,1702146196
249,arteche,12.2645,125.4048,299.3,84,47,3.65,PH,1702146196
250,georgetown,5.4112,100.3354,302.11,85,20,0.51,MY,1702146197
251,bowen,-20.0167,148.2333,297.25,74,12,6.06,AU,1702146197
252,khanpur,28.6453,70.6567,290.62,22,10,2.89,PK,1702146197
253,hassi messaoud,31.6804,6.0729,290.07,39,1,5.66,DZ,1702146198
254,namdrik,5.5994,168.1028,300.95,81,99,7.23,MH,1702146198
255,lepsy,46.235,78.9456,264.55,47,46,2.21,KZ,1702146198
256,yuyao,30.05,121.1494,290.02,73,74,0.76,CN,1702146199
257,bamboo flat,11.7,92.7167,299.2,94,40,1.03,IN,1702146199
258,brady,31.1352,-99.3351,291.68,41,0,7.72,US,1702146199
259,farsan,32.2569,50.561,278.17,58,2,2.63,IR,1702146199
260,mount isa,-20.7333,139.5,298.02,65,4,0.0,AU,1702146199
261,colonia,50.9333,6.95,282.75,90,75,5.14,DE,1702146100
262,newman,37.3138,-121.0208,283.84,55,69,0.45,US,1702146200
263,chesma,53.8111,60.6533,247.26,97,12,1.37,RU,1702146200
264,kingston,17.997,-76.7936,302.73,81,32,0.45,JM,1702145938
265,sragen,-7.4264,111.0222,298.17,82,95,4.07,ID,1702146200
266,port douglas,-16.4833,145.4667,297.06,80,24,2.93,AU,1702146200
267,qamdo,31.1667,97.2333,267.21,61,15,2.52,CN,1702146201
268,konarka,19.9,86.1167,293.37,69,48,2.74,IN,1702146201
269,zapolyarnyy,69.4154,30.8136,257.75,89,36,6.53,RU,1702146201
270,battlefield,37.1156,-93.3702,285.21,63,0,6.17,US,1702146201
271,tabuk,17.4189,121.4443,297.32,92,68,1.75,PH,1702146202
272,crane,31.3974,-102.3501,287.43,16,0,8.08,US,1702146202
273,alice springs,-23.7,133.8833,290.9,94,100,2.06,AU,1702146202
274,benjamin aceval,-24.9667,-57.5667,305.23,52,17,2.46,PY,1702146202
275,enewetak,11.3474,162.3373,300.27,81,67,6.93,MH,1702146202
276,aykhal,66.0,111.5,242.62,98,100,2.76,RU,1702146203
277,soata,6.3337,-72.6828,298.51,48,68,0.64,CO,1702146203
278,freetown,8.484,-13.2299,301.22,76,19,3.05,SL,1702146203
279,lamu,-2.2717,40.902,301.27,82,86,5.82,KE,1702146204
280,yuzhno-kurilsk,44.0306,145.8556,280.03,72,46,7.67,RU,1702146204
281,morondava,-20.2833,44.2833,300.38,84,0,4.76,MG,1702146204
282,island harbour,50.724,-1.2758,284.78,79,18,3.13,GB,1702146204
283,el granada,37.5027,-122.4694,287.87,44,40,4.12,US,1702146204
